gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error,ENTR_rel_error,maxL_rel_error,LAM_rel_error
37,1.48,0.09879733373875066,0.18952080448664788,3.20331460950165,0.5350126525778235,0.02764815805536311,60.0,0.4433395595325407
37,1.48,0.18756158923070432,0.5591070523293311,6.081325843800651,1.57834570168658,1.1741488661617563,20.0,0.37615023207266207
37,1.48,0.08449322701556827,0.026099181452572395,2.7395313037354843,0.07367735873047353,0.4722597211591309,30.0,0.8930514229627198
37,1.48,0.12890869060348464,0.48961658823612453,4.179617771809438,1.3821758003183653,0.5652960777460968,0.0,0.2178280284795071
37,1.48,0.13492328463101488,0.4740674635400808,4.374629481027783,1.33828099694083,0.7838795957033147,10.0,0.007383556110810778
37,1.48,0.02142383441986251,0.3274020269859861,0.6946268607831126,0.9242480127265883,1.2963864984487439,50.0,1.743058736226825
37,1.48,0.13047042428950428,0.397684813953596,4.230253999967236,1.1226546224281222,0.20853171131930423,40.0,0.22392308581718293
37,1.48,0.1440249796575599,0.418375602757898,4.669734536462336,1.1810642193697447,0.3127213824809267,0.0,0.016342247459146846
37,1.48,0.1629112493818976,0.6278386877768938,5.282085714753605,1.7723734481201026,0.838367793194352,280.0,0.629296172654563
37,1.48,0.1884283211211346,0.5679279825641288,6.1094279678364884,1.6032469746413154,0.5922475965396327,30.0,0.6361801116703847
37,1.48,0.06435433777592348,0.09958259986457563,2.0865663331313544,0.2811192736779257,0.9181835630743459,0.0,1.1984629760706593
37,1.48,0.17933874821893125,0.5964545260435443,5.8147159491017355,1.6837767177327867,0.96075376981194,10.0,0.509158592583743
37,1.48,0.0769431639047582,0.19249506566634267,2.4947349458755617,0.5434089200352038,0.09676070941259524,20.0,0.5463453212169825
37,1.48,0.0366027544497034,0.03310030985161205,1.1867743150516636,0.09344137506606284,0.9274968031341073,10.0,0.8031851859299858
37,1.48,0.15930491739024788,0.6577549044552313,5.165157296562562,1.85682620508008,1.0842189289014588,80.0,0.37845263813266183
37,1.48,0.0759653125411961,0.15471864930019308,2.463029985424883,0.43676700924507783,0.4719537180946197,20.0,0.6308999548203187
37,1.48,0.1283349100513118,0.514305529728361,4.1610140346854845,1.4518720857097176,0.3532817153916652,70.0,0.02511316505793326
37,1.48,0.07608249307649917,0.16482962540177226,2.4668293401896397,0.4653100505165071,0.26285780224088984,30.0,0.7031535542061065
37,1.48,0.08825512626960297,0.07410544462704394,2.8615036929073208,0.20919787992545713,0.6707214308745127,60.0,0.8880882926590178
37,1.48,0.1317493084075516,0.40215227606019965,4.271719371796332,1.1352661600290685,0.2897436176916693,70.0,0.16677999160209794
37,1.48,0.08588121025269047,0.06961485884234975,2.784534005862789,0.19652106473988856,0.9201075822079072,20.0,0.5524971066706549
37,1.48,0.19107094422762083,0.7854617330226432,6.195109968393289,2.2173394969544087,1.648054304798682,30.0,1.0235079176161697
37,1.48,0.07868066839373267,0.1367697142262969,2.5510702061805026,0.38609759914604636,0.4197955427337035,40.0,0.6834178364968958
