gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error
12,0.48,0.0017274027186893193,0.13448548094419266,0.05600772972175896,0.37964926377370867
12,0.48,0.004018484219267204,0.2216736992163888,0.13029166598431774,0.6257794976427206
12,0.48,0.0035376399537137004,0.22506536952769096,0.11470121022550521,0.6353541009947609
12,0.48,0.00537818249959221,0.19585083653385738,0.1743772824787537,0.5528821801246993
12,0.48,0.005881250659772075,0.2258810256519368,0.1906883055205346,0.6376566785286951
12,0.48,0.0017193213024615517,0.1342611727543499,0.05574570525522502,0.3790160471726724
12,0.48,0.008713787047611277,0.10851085306389763,0.28252788104089605,0.30632351676877984
25,1.0,0.019148915751740603,0.23857735629335508,0.6208669734536363,0.6734981132084897
25,1.0,0.03822509875743174,0.0013831194930560287,1.2393757267084813,0.0039045129151725083
25,1.0,0.01216253142281909,0.08487042054515825,0.39434682213451355,0.23958714687948426
25,1.0,0.005523647991692471,0.380401766855222,0.179093722876379,1.073864997997312
25,1.0,0.022799695532643494,0.025305084963356705,0.739236526210631,0.0714356435253866
25,1.0,0.012219101336413463,0.1839112383003183,0.3961809934002511,0.519176982751029
25,1.0,0.009451216278396846,0.46875881683965304,0.30643761361217553,1.3232948155530528
25,1.0,0.04163545640555766,0.046342456709808744,1.3499500515860625,0.1308236357398668
25,1.0,0.012778739410188145,0.43117336820773744,0.41432618770778396,1.2171920020632265
25,1.0,0.0008546097660886431,0.22777751657793033,0.027709087336036,0.6430104265969029
25,1.0,0.004444778925282833,0.34888590819745957,0.1441134565940118,0.9848964903739438
25,1.0,0.032582249876379255,0.08859849160038635,1.0564171429507123,0.2501114014047795
25,1.0,0.0997994293509965,0.5856977655068363,3.2358056433519446,1.6534106426020003
25,1.0,0.03475817119571101,0.016647872085961524,1.1269672305651481,0.04699654071547635
25,1.0,0.00705305601280104,0.3428846674758006,0.22868185316804204,0.9679551327960796
25,1.0,0.03579663318098181,0.03176944650264346,1.1606373745148457,0.08968437998323299
25,1.0,0.062390553632571066,0.33882829490385546,2.0228943877634484,0.9565040910202769
25,1.0,0.014362696990834145,0.1711301571942201,0.4656829831485511,0.4830962995568646
25,1.0,0.006354013509097811,0.44308287874069663,0.20601673681281316,1.2508122625850253
25,1.0,0.029325439136581366,0.08304810889212888,0.9508212829372902,0.2344428051068141
25,1.0,0.05188673289050527,0.22836458351188327,1.6823280873851556,0.6446677023689517
25,1.0,0.021128862727548547,0.046671946127325725,0.6850629677546095,0.1317537764056347
25,1.0,0.0488986292402811,0.08429491931109112,1.5854445408840017,0.23796252079880637
25,1.0,0.029478986044909394,0.07160520086131328,0.9557997478014495,0.20213975217627397
25,1.0,0.007622795856859543,0.08376222704439584,0.24715457805871352,0.23645874339883016
25,1.0,0.019399439654802286,0.20121486628230656,0.6289897319162171,0.5680247065190842
25,1.0,0.041081879393954246,0.0794004944123543,1.3320013756284448,0.2241456775503354
25,1.0,0.05090484081882929,0.19273393334877653,1.6504921147012102,0.5440832377320931
25,1.0,0.08237185525577395,0.38958296532065617,2.6707498812701522,1.09978329946369
25,1.0,0.030998292295733254,0.07152808172255476,1.005060347509945,0.20192204671062086
37,1.48,0.01807408739344485,0.3984502339418654,0.586017719404536,1.1248153845638114
37,1.48,0.09879733373875066,0.18952080448664788,3.20331460950165,0.5350126525778235
37,1.48,0.18756158923070432,0.5591070523293311,6.081325843800651,1.57834570168658
37,1.48,0.08449322701556827,0.026099181452572395,2.7395313037354843,0.07367735873047353
37,1.48,0.12890869060348464,0.48961658823612453,4.179617771809438,1.3821758003183653
37,1.48,0.13492328463101488,0.4740674635400808,4.374629481027783,1.33828099694083
37,1.48,0.02142383441986251,0.3274020269859861,0.6946268607831126,0.9242480127265883
37,1.48,0.13047042428950428,0.397684813953596,4.230253999967236,1.1226546224281222
37,1.48,0.1440249796575599,0.418375602757898,4.669734536462336,1.1810642193697447
37,1.48,0.1629112493818976,0.6278386877768938,5.282085714753605,1.7723734481201026
37,1.48,0.1884283211211346,0.5679279825641288,6.1094279678364884,1.6032469746413154
37,1.48,0.06435433777592348,0.09958259986457563,2.0865663331313544,0.2811192736779257
37,1.48,0.17933874821893125,0.5964545260435443,5.8147159491017355,1.6837767177327867
37,1.48,0.0769431639047582,0.19249506566634267,2.4947349458755617,0.5434089200352038
37,1.48,0.0366027544497034,0.03310030985161205,1.1867743150516636,0.09344137506606284
37,1.48,0.15930491739024788,0.6577549044552313,5.165157296562562,1.85682620508008
37,1.48,0.0759653125411961,0.15471864930019308,2.463029985424883,0.43676700924507783
37,1.48,0.1283349100513118,0.514305529728361,4.1610140346854845,1.4518720857097176
37,1.48,0.07608249307649917,0.16482962540177226,2.4668293401896397,0.4653100505165071
37,1.48,0.08825512626960297,0.07410544462704394,2.8615036929073208,0.20919787992545713
37,1.48,0.1317493084075516,0.40215227606019965,4.271719371796332,1.1352661600290685
37,1.48,0.08588121025269047,0.06961485884234975,2.784534005862789,0.19652106473988856
37,1.48,0.19107094422762083,0.7854617330226432,6.195109968393289,2.2173394969544087
37,1.48,0.07868066839373267,0.1367697142262969,2.5510702061805026,0.38609759914604636
37,1.48,0.07604006564130295,0.18984103247388617,2.465453711740322,0.5359166484496546
37,1.48,0.1303310198595753,0.678942150458063,4.225734077919526,1.9166372886996228
37,1.48,0.17809623047390932,0.641794913613225,5.774429687372056,1.8117715364982931
37,1.48,0.1356728359861421,0.24769957207057303,4.398932250298863,0.6992499079709507
37,1.48,0.15564403583906028,0.6702387061635164,5.0464602132223995,1.8920676757159633
37,1.48,0.04023535104409337,0.3241349917048524,1.3045543127589425,0.9150252510537514
50,2.0,0.25650011036184006,0.6444542388121164,8.316525555573742,1.8192787472901626
50,2.0,0.11803918577711148,0.38277797746221864,3.827194864320455,1.0805729831358115
50,2.0,0.24183840097057807,0.8249198281604251,7.841147667163422,2.3287287462904627
50,2.0,0.25536467138183605,0.6602707069078377,8.279711118025638,1.863928254626443
50,2.0,0.2579406228044432,0.3980488105229796,8.363231416733532,1.1236821759499778
50,2.0,0.2765824296878905,0.6330812183456089,8.967656354912135,1.7871729852653042
50,2.0,0.19849170467878618,0.5023855476659804,6.435713934788653,1.418222264313336
50,2.0,0.20787422891924656,0.5728546653729509,6.739924340435276,1.6171548811906633
50,2.0,0.29916190662832687,0.5582035298734596,9.699752714409701,1.5757950796211622
50,2.0,0.20501138722055323,0.3046517737128198,6.647102173165412,0.860024597342387
