filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P003_T4_PC3, 4, 10, 1, 20.0, 1.435, 95.695, 56.00, 6.49, 7.60, 2254, 3.449, 0.989, 11.094, 121.00, 0.018, -1.262, -1.938
P003_T4_PC4, 4, 10, 1, 20.0, 1.285, 95.544, 49.00, 5.89, 6.04, 2220, 3.437, 0.982, 7.678, 59.00, 0.020, -1.201, -1.699
P003_T4_PC5, 4, 10, 1, 20.0, 2.018, 95.617, 59.00, 5.35, 6.03, 3838, 3.211, 0.974, 7.325, 74.00, 0.017, -2.236, -3.337
P003_T4_PC6, 4, 10, 1, 20.0, 1.386, 94.784, 44.00, 5.69, 5.80, 2458, 3.372, 0.973, 7.317, 61.00, 0.023, -1.742, 0.006
P003_T4_PC7, 4, 10, 1, 20.0, 2.782, 97.766, 72.00, 9.15, 11.08, 3166, 4.114, 0.985, 10.880, 91.00, 0.014, -4.043, -2.642
P003_T4_PC8, 4, 10, 1, 20.0, 0.909, 93.244, 33.00, 4.50, 4.06, 2006, 2.896, 0.959, 5.047, 28.00, 0.030, -1.909, -1.278
P003_T4_PC9, 4, 10, 1, 20.0, 1.459, 96.494, 36.00, 5.48, 4.66, 2735, 3.352, 0.978, 6.569, 36.00, 0.028, 1.965, -2.012
P003_T4_PC10, 4, 10, 1, 20.0, 0.785, 89.525, 35.00, 3.82, 3.51, 1960, 2.504, 0.964, 5.034, 50.00, 0.029, -0.644, -0.519
P003_T4_PC11, 4, 10, 1, 20.0, 0.843, 91.960, 40.00, 4.10, 3.63, 2016, 2.708, 0.954, 5.482, 37.00, 0.025, -0.807, -1.164
P003_T4_PC12, 4, 10, 1, 20.0, 0.374, 85.388, 23.00, 3.27, 2.19, 1039, 2.189, 0.911, 3.819, 13.00, 0.043, -0.428, 0.059
P003_T4_PC13, 4, 10, 1, 20.0, 0.597, 87.331, 24.00, 3.73, 2.86, 1487, 2.520, 0.954, 4.720, 27.00, 0.042, -0.265, 0.176
P003_T4_PC14, 4, 10, 1, 20.0, 0.899, 92.884, 41.00, 5.10, 5.01, 1744, 3.159, 0.991, 8.631, 44.00, 0.024, -0.782, -1.313
P003_T5_PC1, 4, 10, 1, 20.0, 17.719, 99.874, 272.00, 37.74, 47.25, 4764, 5.834, 0.999, 67.473, 273.00, 0.004, -7.335, -35.244
P003_T5_PC2, 4, 10, 1, 20.0, 1.855, 95.049, 52.00, 5.77, 6.91, 3104, 3.261, 0.973, 11.131, 154.00, 0.019, -3.625, -3.662
P003_T5_PC3, 4, 10, 1, 20.0, 5.852, 96.173, 57.00, 6.27, 7.44, 9121, 3.464, 0.988, 13.042, 215.00, 0.018, 6.818, -5.451
P003_T5_PC4, 4, 10, 1, 20.0, 1.254, 89.884, 44.00, 5.01, 6.65, 2288, 2.799, 0.958, 8.050, 90.00, 0.023, -1.959, -1.921
P003_T5_PC5, 4, 10, 1, 20.0, 2.180, 94.831, 33.00, 4.90, 3.84, 4290, 3.165, 0.971, 5.738, 53.00, 0.030, 0.895, -2.784
P003_T5_PC6, 4, 10, 1, 20.0, 2.657, 94.014, 46.00, 5.31, 5.35, 4781, 3.202, 0.969, 8.078, 160.00, 0.022, 0.491, -3.625
P003_T5_PC7, 4, 10, 1, 20.0, 0.988, 89.796, 46.00, 5.32, 6.78, 1694, 2.994, 0.946, 8.267, 52.00, 0.022, -0.972, 0.055
P003_T5_PC8, 4, 10, 1, 20.0, 1.138, 93.661, 35.00, 4.46, 4.12, 2428, 2.901, 0.968, 5.790, 28.00, 0.029, -0.027, 4.719
P003_T5_PC9, 4, 10, 1, 20.0, 1.865, 94.685, 42.00, 5.37, 5.55, 3342, 3.229, 0.968, 6.762, 40.00, 0.024, -0.774, 3.681
P003_T5_PC10, 4, 10, 1, 20.0, 1.016, 93.207, 47.00, 4.43, 3.79, 2169, 2.922, 0.963, 5.928, 26.00, 0.021, -0.927, 1.945
P003_T5_PC11, 4, 10, 1, 20.0, 0.712, 84.331, 28.00, 3.41, 2.35, 1789, 2.312, 0.933, 4.644, 36.00, 0.036, -0.295, 0.083
P003_T5_PC12, 4, 10, 1, 20.0, 1.337, 93.153, 42.00, 4.25, 3.86, 2974, 2.787, 0.974, 6.851, 45.00, 0.024, -2.143, -2.490
P003_T5_PC13, 4, 10, 1, 20.0, 0.974, 91.781, 28.00, 4.11, 3.23, 2207, 2.762, 0.963, 5.636, 35.00, 0.036, -0.963, -1.023
P003_T5_PC14, 4, 10, 1, 20.0, 1.610, 93.473, 40.00, 4.22, 3.72, 3628, 2.792, 0.974, 6.350, 92.00, 0.025, -2.666, -1.335
P003_T6_PC1, 4, 10, 1, 20.0, 2.445, 98.546, 72.00, 8.45, 10.38, 3009, 4.010, 0.996, 21.355, 153.00, 0.014, 16.451, 9.669
P003_T6_PC2, 4, 10, 1, 20.0, 1.261, 95.015, 46.00, 5.50, 5.84, 2296, 3.303, 0.970, 6.732, 50.00, 0.022, -1.281, -2.258
P003_T6_PC3, 4, 10, 1, 20.0, 1.661, 91.681, 38.00, 4.53, 4.27, 3546, 2.900, 0.984, 11.056, 150.00, 0.026, 17.830, -0.167
P003_T6_PC4, 4, 10, 1, 20.0, 1.554, 96.168, 46.00, 5.91, 6.20, 2667, 3.418, 0.981, 8.395, 92.00, 0.022, -3.752, -1.522
P003_T6_PC5, 4, 10, 1, 20.0, 1.184, 89.607, 28.00, 4.36, 3.36, 2567, 2.897, 0.934, 4.875, 23.00, 0.036, 1.120, -0.107
P003_T6_PC6, 4, 10, 1, 20.0, 1.652, 96.110, 49.00, 5.25, 4.57, 3191, 3.276, 0.983, 7.749, 61.00, 0.020, -2.285, 15.782
P003_T6_PC7, 4, 10, 1, 20.0, 0.887, 93.073, 31.00, 4.28, 3.75, 2035, 2.802, 0.973, 6.564, 51.00, 0.032, 10.750, 0.031
P003_T6_PC8, 4, 10, 1, 20.0, 0.578, 89.948, 31.00, 3.77, 3.00, 1455, 2.534, 0.945, 4.234, 24.00, 0.032, -0.180, 0.631
P003_T6_PC9, 4, 10, 1, 20.0, 1.005, 93.613, 33.00, 4.05, 3.03, 2451, 2.732, 0.977, 5.829, 55.00, 0.030, -0.033, 2.853
P003_T6_PC10, 4, 10, 1, 20.0, 0.830, 92.265, 32.00, 3.80, 2.81, 2124, 2.563, 0.970, 5.210, 38.00, 0.031, 8.176, 0.639
P003_T6_PC11, 4, 10, 1, 20.0, 0.700, 84.617, 16.00, 3.10, 1.57, 2016, 2.086, 0.949, 4.106, 29.00, 0.062, 1.111, 0.034
P003_T6_PC12, 4, 10, 1, 20.0, 0.410, 85.453, 16.00, 3.23, 1.89, 1145, 2.176, 0.927, 3.741, 13.00, 0.062, 1.409, -0.233
P003_T6_PC13, 4, 10, 1, 20.0, 0.346, 75.336, 15.00, 2.72, 1.24, 1009, 1.675, 0.916, 3.603, 23.00, 0.067, 0.579, -0.087
P003_T6_PC14, 4, 10, 1, 20.0, 0.926, 90.768, 27.00, 3.93, 3.13, 2255, 2.637, 0.970, 6.379, 43.00, 0.037, -0.956, 1.756
P003_T7_PC1, 4, 10, 1, 20.0, 2.650, 96.982, 51.00, 6.63, 10.41, 3994, 2.978, 0.998, 30.732, 224.00, 0.020, -4.614, -4.923
P003_T7_PC2, 4, 10, 1, 20.0, 1.041, 91.981, 47.00, 4.11, 3.80, 2400, 2.701, 0.985, 9.109, 67.00, 0.021, -1.798, -0.750
P003_T7_PC3, 4, 10, 1, 20.0, 0.473, 95.094, 35.00, 5.83, 4.83, 795, 3.445, 0.986, 10.970, 81.00, 0.029, 0.029, 0.176
P003_T7_PC4, 4, 10, 1, 20.0, 1.041, 92.115, 56.00, 4.21, 3.64, 2350, 2.798, 0.973, 6.786, 36.00, 0.018, -0.330, 6.073
P003_T7_PC5, 4, 10, 1, 20.0, 0.475, 87.579, 18.00, 3.51, 2.22, 1223, 2.399, 0.898, 3.658, 16.00, 0.056, 0.063, 0.899
P003_T7_PC6, 4, 10, 1, 20.0, 0.670, 90.245, 26.00, 4.44, 3.94, 1402, 2.866, 0.975, 8.589, 89.00, 0.038, -0.665, 0.820
P003_T7_PC7, 4, 10, 1, 20.0, 0.821, 92.264, 28.00, 3.81, 2.76, 2047, 2.590, 0.976, 6.307, 41.00, 0.036, -0.798, -1.446
P003_T7_PC8, 4, 10, 1, 20.0, 0.330, 84.803, 22.00, 3.32, 2.34, 870, 2.217, 0.912, 3.492, 18.00, 0.045, -0.079, 0.423
P003_T7_PC9, 4, 10, 1, 20.0, 0.512, 90.235, 19.00, 3.45, 2.27, 1380, 2.342, 0.967, 4.557, 49.00, 0.053, -0.427, -0.364
