term,estimate,std.error,statistic,p.value,feature
Conditionuni,0.16171671491571027,0.04155598819751243,3.891538185714249,0.0001170280112713574,right_wrist_speed_rms
Conditionf2f,0.1616245129810698,0.04155598819751243,3.8893194456808695,0.00011806264864932053,right_wrist_speed_rms
Conditionuni,1.4342829900067944,0.3757184176901484,3.8174412604644647,0.00015666780002610096,right_wrist_accel_mean
Conditionf2f,1.2590336237731385,0.37571841769014847,3.351003210099357,0.0008833802080009936,right_wrist_accel_mean
Conditionuni,1.9392883802221639,0.4960920840845288,3.9091298620514365,0.00010912323751018073,right_wrist_accel_rms
Conditionf2f,1.5688162662371854,0.49609208408452876,3.162348919822466,0.00168685770518533,right_wrist_accel_rms
Conditionuni,0.00392437753525337,0.001126986920320346,3.48218552007495,0.0005533590245206445,right_wrist_displacement_mean
Conditionf2f,0.004241918362366348,0.001126986920320346,3.7639464006916628,0.00019283949163055074,right_wrist_displacement_mean
Conditionuni,0.005390557163857066,0.0013851996065817563,3.8915381857198845,0.00011702801126474676,right_wrist_displacement_rms
Conditionf2f,0.005387483766035726,0.0013851996065817565,3.889319445686508,0.00011806264864276844,right_wrist_displacement_rms
Conditionuni,0.007528005818367464,0.006386282774511871,1.1787774021551776,0.23920182873228302,nose_speed_mean
Conditionf2f,0.025673760208488924,0.006386282774511871,4.020141468046922,6.976751085480362e-05,nose_speed_mean
Conditionuni,0.013092013534579967,0.008183717821568813,1.5997635573498106,0.11045665937691249,nose_speed_rms
Conditionf2f,0.038023225483043724,0.008183717821568813,4.646204367265769,4.6238394179430245e-06,nose_speed_rms
Conditionuni,0.11542204640536605,0.055758083461170636,2.070050461575581,0.039102027050157674,nose_accel_mean
Conditionf2f,0.17411969072526526,0.05575808346117064,3.122770366497988,0.0019245704805138791,nose_accel_mean
Conditionuni,0.19327932051132704,0.08820888094926897,2.1911548863485364,0.02902855797764314,nose_accel_rms
Conditionf2f,0.2545113981462503,0.08820888094926896,2.885326232543704,0.004126135698830671,nose_accel_rms
Conditionuni,0.0002509335272788771,0.00021287609347726418,1.1787773966534085,0.23920183092408137,nose_displacement_mean
Conditionf2f,0.0008557920069495842,0.0002128760934772642,4.020141449283901,6.97675162426995e-05,nose_displacement_mean
Conditionuni,0.00043640045115261297,0.00027279059405288823,1.5997635573461315,0.11045665937771122,nose_displacement_rms
Conditionf2f,0.0012674408494347399,0.00027279059405288823,4.646204367255457,4.62383941805551e-06,nose_displacement_rms
Conditionuni,0.002227260296239204,0.0004917524901190568,4.5292303363831845,7.867469595499226e-06,subset_displacement_mean
Conditionf2f,0.0031157803787281615,0.0004917524901190567,6.336074430398531,6.476930900764903e-10,subset_displacement_mean
Conditionuni,0.0036702996322083175,0.0007026315076982298,5.223647946321044,2.855170154878322e-07,subset_displacement_rms
Conditionf2f,0.004704481594628236,0.0007026315076982298,6.695517555197289,7.465679708284575e-11,subset_displacement_rms
Conditionuni,0.06681780888717492,0.01475257470364359,4.5292303363610324,7.867469595746999e-06,subset_speed_mean
Conditionf2f,0.09347341136184407,0.01475257470364359,6.336074430367603,6.47693090067941e-10,subset_speed_mean
Conditionuni,0.11010898896624902,0.021078945230939953,5.223647946322741,2.8551701549323867e-07,subset_speed_rms
